Seed,H1_max,H1_avg,H1_count,height_max,total_steps,stopping_time,max_value,odd_steps,max_consecutive_odds,sum_of_values,peak_ratio
151,0.41421353816986084,0.41421353816986084,1,8,15,8,1024,4,1,3902.0,6.781456953642384
152,0.41421353816986084,0.41421353816986084,5,11,23,1,152,7,1,785.0,1.0
153,0.41421353816986084,0.41421353816986084,10,12,36,3,520,12,1,3552.0,3.3986928104575163
154,0.41421353816986084,0.41421353816986084,5,11,23,1,232,7,1,1079.0,1.5064935064935066
155,0.41421353816986084,0.41421353816986084,22,36,85,65,9232,31,1,96989.0,59.561290322580646
156,0.41421353816986084,0.41421353816986084,6,15,36,1,304,12,1,2578.0,1.9487179487179487
157,0.41421353816986084,0.41421353816986084,7,16,36,3,472,12,1,3170.0,3.0063694267515926
158,0.41421353816986084,0.41421353816986084,5,19,36,1,808,12,1,4542.0,5.113924050632911
159,0.41421353816986084,0.41421353816986084,11,19,54,34,9232,19,1,58503.0,58.062893081761004
160,0.41421353816986084,0.41421353816986084,2,4,10,1,160,2,1,346.0,1.0
161,1.0,0.43674378670178926,26,36,98,3,9232,36,1,100076.0,57.3416149068323
162,0.41421353816986084,0.41421353816986084,5,8,23,1,244,7,1,1625.0,1.5061728395061729
163,0.41421353816986084,0.41421353816986084,3,8,23,6,736,7,1,2957.0,4.515337423312883
164,1.0,0.42780156930287677,30,38,111,1,9232,41,1,101577.0,56.292682926829265
165,1.0,0.42780156930287677,30,40,111,3,9232,41,1,102199.0,55.95151515151515
166,1.0,0.4269523173570633,32,41,111,1,9232,41,1,102261.0,55.6144578313253
167,0.41421353816986084,0.41421353816986084,18,32,67,47,9232,24,1,85704.0,55.2814371257485
168,0.41421353816986084,0.41421353816986084,2,4,10,1,168,2,1,442.0,1.0
169,0.41421353816986084,0.41421353816986084,8,22,49,3,4372,17,1,29019.0,25.869822485207102
170,0.41421353816986084,0.41421353816986084,1,6,10,1,256,2,1,766.0,1.5058823529411764
171,1.0,0.4262029774048749,34,45,124,8,9232,46,1,105976.0,53.98830409356725
172,0.41421353816986084,0.41421353816986084,8,8,31,1,196,10,1,1596.0,1.1395348837209303
173,0.41421353816986084,0.41421353816986084,8,10,31,3,520,10,1,2248.0,3.005780346820809
174,0.41421353816986084,0.41421353816986084,7,13,31,1,592,10,1,2890.0,3.4022988505747125
175,0.41421353816986084,0.41421353816986084,21,36,80,13,9232,29,1,95085.0,52.754285714285714
176,0.41421353816986084,0.41421353816986084,3,7,18,1,176,5,1,589.0,1.0
177,0.41421353816986084,0.41421353816986084,9,13,31,3,532,10,1,2516.0,3.005649717514124
178,0.41421353816986084,0.41421353816986084,6,15,31,1,304,10,1,2128.0,1.7078651685393258
179,0.41421353816986084,0.41421353816986084,5,19,31,6,808,10,1,3590.0,4.5139664804469275
180,0.41421353816986084,0.41421353816986084,4,9,18,1,180,5,1,767.0,1.0
181,0.41421353816986084,0.41421353816986084,4,9,18,3,544,5,1,1449.0,3.005524861878453
182,0.41421353816986084,0.39570629596710205,25,36,93,1,9232,34,1,98704.0,50.72527472527472
183,0.41421353816986084,0.41421353816986084,24,40,93,8,9232,34,1,101406.0,50.44808743169399
184,0.41421353816986084,0.41421353816986084,3,5,18,1,184,5,1,955.0,1.0
185,0.41421353816986084,0.41421353816986084,11,18,44,3,628,15,1,5897.0,3.3945945945945946
186,0.41421353816986084,0.41421353816986084,4,6,18,1,280,5,1,1309.0,1.5053763440860215
187,0.41421353816986084,0.41421353816986084,9,24,44,11,952,15,1,9191.0,5.090909090909091
188,1.0,0.428270122100567,29,38,106,1,9232,39,1,101261.0,49.1063829787234
189,1.0,0.42736324571794077,31,39,106,3,9232,39,1,101973.0,48.84656084656085
190,0.6055512428283691,0.4119691627996939,27,38,106,1,9232,39,1,105035.0,48.589473684210525
191,0.41421353816986084,0.41421353816986084,7,22,44,21,4372,15,1,27579.0,22.89005235602094
192,0.41421353816986084,0.41421353816986084,2,5,13,1,192,3,1,427.0,1.0
193,1.0,0.4265662937453299,33,42,119,3,9232,44,1,103876.0,47.83419689119171
194,0.41421353816986084,0.40986852529572276,41,45,119,1,9232,44,1,103448.0,47.58762886597938
195,0.41421353816986084,0.4091236659458705,35,48,119,6,9232,44,1,105040.0,47.343589743589746
196,0.41421353816986084,0.41421353816986084,5,8,26,1,196,8,1,1100.0,1.0
197,0.41421353816986084,0.41421353816986084,5,10,26,3,592,8,1,1842.0,3.00507614213198
198,0.41421353816986084,0.41421353816986084,3,10,26,1,448,8,1,1914.0,2.2626262626262625
199,0.6055512428283691,0.4123772310488152,33,41,119,13,9232,44,1,112748.0,46.391959798994975
200,0.41421353816986084,0.41421353816986084,7,11,26,1,200,8,1,1008.0,1.0
201,0.41421353816986084,0.41421353816986084,2,8,18,3,1024,5,1,5009.0,5.0945273631840795
202,0.41421353816986084,0.41421353816986084,5,14,26,1,304,8,1,1392.0,1.504950495049505
203,0.41421353816986084,0.41421353816986084,12,10,39,8,916,13,1,5349.0,4.512315270935961
204,0.41421353816986084,0.41421353816986084,5,12,26,1,232,8,1,1436.0,1.1372549019607843
205,0.41421353816986084,0.41421353816986084,5,14,26,3,616,8,1,2208.0,3.004878048780488
206,0.41421353816986084,0.41421353816986084,22,36,88,1,9232,32,1,97608.0,44.81553398058252
207,0.41421353816986084,0.41421353816986084,25,41,88,21,9232,32,1,102710.0,44.59903381642512
208,0.41421353816986084,0.41421353816986084,2,7,13,1,208,3,1,509.0,1.0
209,0.41421353816986084,0.41421353816986084,9,18,39,3,628,13,1,4321.0,3.0047846889952154
210,0.41421353816986084,0.41421353816986084,6,19,39,1,808,13,1,5173.0,3.8476190476190477
211,0.41421353816986084,0.41421353816986084,8,21,39,6,952,13,1,6895.0,4.511848341232228
212,0.41421353816986084,0.41421353816986084,2,5,13,1,212,3,1,717.0,1.0
213,0.41421353816986084,0.41421353816986084,2,7,13,3,640,3,1,1519.0,3.004694835680751
214,1.0,0.4287721429552351,28,37,101,1,9232,37,1,100719.0,43.14018691588785
215,0.6055512428283691,0.4119691627996939,27,38,101,8,9232,37,1,103891.0,42.93953488372093
216,1.0,0.42736324571794077,31,38,114,1,9232,42,1,101818.0,42.74074074074074
217,0.41421353816986084,0.41421353816986084,4,8,26,3,736,8,1,4152.0,3.391705069124424
218,1.0,0.42736324571794077,31,40,114,1,9232,42,1,102232.0,42.34862385321101
219,0.41421353816986084,0.41421353816986084,16,24,52,13,1672,18,1,12966.0,7.634703196347032
220,0.41421353816986084,0.4091236659458705,35,43,114,1,9232,42,1,102646.0,41.96363636363636
221,1.0,0.4269523173570633,32,44,114,3,9232,42,1,103478.0,41.7737556561086
222,0.41421353816986084,0.41421353816986084,18,32,70,1,9232,25,1,86371.0,41.585585585585584
223,0.41421353816986084,0.41421353816986084,14,36,70,50,9232,25,1,95173.0,41.399103139013455
224,0.41421353816986084,0.41421353816986084,3,8,21,1,224,6,1,722.0,1.0
225,0.41421353816986084,0.41421353816986084,9,22,52,3,4372,18,1,30258.0,19.43111111111111
226,0.41421353816986084,0.41421353816986084,2,6,13,1,340,3,1,1445.0,1.5044247787610618
227,0.41421353816986084,0.41421353816986084,1,8,13,6,1024,3,1,3297.0,4.511013215859031
228,0.41421353816986084,0.41421353816986084,11,8,34,1,228,11,1,1995.0,1.0
229,0.41421353816986084,0.41421353816986084,10,10,34,3,688,11,1,2857.0,3.004366812227074
230,0.41421353816986084,0.41421353816986084,9,12,34,1,520,11,1,2939.0,2.260869565217391
